Date/Time,Energy Produced (Wh)
2016-07-29 00:00:00 -0500,2956
2016-07-30 00:00:00 -0500,9468
2016-07-31 00:00:00 -0500,12062
2016-08-01 00:00:00 -0500,10220
2016-08-02 00:00:00 -0500,7711
2016-08-03 00:00:00 -0500,8586
2016-08-04 00:00:00 -0500,9159
2016-08-05 00:00:00 -0500,11646
2016-08-06 00:00:00 -0500,10482
2016-08-07 00:00:00 -0500,7358
2016-08-08 00:00:00 -0500,11560
2016-08-09 00:00:00 -0500,10460
2016-08-10 00:00:00 -0500,9208
2016-08-11 00:00:00 -0500,5059
2016-08-12 00:00:00 -0500,5222
2016-08-13 00:00:00 -0500,8778
Total,139935
